Global-100,#genre#
加勒比206西川,https://fc.maa1808.com/d/oduhcvyunk/oduhcvyunk.m3u8
咲咲原凛星奈爱,https://fc.maa1809.com/d/ojpmkokpmm/ojpmkokpmm.m3u8
安斋,https://siwazywcdn2.com:5278/zhongwenzimu/67nNClKY/index.m3u8
松永纱奈2,https://fc.maa1809.com/e/ohtlknkomr/ohtlknkomr.m3u8
百永纱理奈,https://siwazywcdn2.com:5278/zhongwenzimu/5PzEAi0h/index.m3u8
耳边细语,https://siwazywcdn2.com:5278/zhongwenzimu/07fs3XqF/index.m3u8
西宫,https://siwazywcdn2.com:5278/zhongwenzimu/1BvNA3kM/index.m3u8
叶月梨乃,https://siwazywcdn2.com:5278/ribenyouma/6F2acdoY/index.m3u8
奏美沙,https://fc.maa1809.com/e/chifuosxst/chifuosxst.m3u8
雪音,https://siwazywcdn2.com:5278/zhongwenzimu/23fVU6wT/index.m3u8
CAWD-092皆川优奈,https://siwazywcdn2.com:5278/zhongwenzimu/5JDoELrc/index.m3u8
carib474立花琉莉,https://fc.maa1808.com/h/oqmoimljpr/oqmoimljpr.m3u8
carib744立花琉莉,https://fc.maa1808.com/c/kmiorrpitk/kmiorrpitk.m3u8
EBOD-829北野未奈,https://siwazywcdn2.com:5278/zhongwenzimu/6MnoNVIC/index.m3u8
FSDSS-039美乃,https://siwazywcdn2.com:5278/zhongwenzimu/30HRcubp/index.m3u8
IPX-511,https://siwazywcdn2.com:5278/ribenyouma/NkRh5zW8/index.m3u8
heyzo1199希笑,https://fc.maa1808.com/d/bysmgbtdit/bysmgbtdit.m3u8
heyzo1243水谷,https://fc.maa1808.com/c/iqwejgyxjo/iqwejgyxjo.m3u8
heyzo1262西川,https://fc.maa1808.com/d/fhctzryess/fhctzryess.m3u8
heyzo1478丘笑,https://fc.maa1808.com/c/tbpdlnyuix/tbpdlnyuix.m3u8
heyzo1544姬川,https://fc.maa1808.com/h/xfjsphiogs/xfjsphiogs.m3u8
JUFE-104,https://siwazywcdn2.com:5278//zhongwenzimu/4TrvxJeg/index.m3u8
JUFE-104,https://siwazywcdn2.com:5278/zhongwenzimu/4TrvxJeg/index.m3u8
JUY-385大岛优香,https://video2.51daao.com/btt1/2021/10/20211017/V7WwMk16/2000kb/hls/index.m3u8
MEYD-647川上奈奈美,https://siwazywcdn2.com:5278/zhongwenzimu/3YPtObjx/index.m3u8
MIAA-247,https://siwazywcdn2.com:5278//zhongwenzimu/TZb8hicm/index.m3u8
MIAA-247,https://siwazywcdn2.com:5278/zhongwenzimu/TZb8hicm/index.m3u8
MIAA-320,https://siwazywcdn2.com:5278//zhongwenzimu/4idREMlz/index.m3u8
MIAA-320,https://siwazywcdn2.com:5278/zhongwenzimu/4idREMlz/index.m3u8
MIFD-117,https://siwazywcdn2.com:5278/zhongwenzimu/2imBA5or/index.m3u8
pondo350西川,https://fc.maa1808.com/h/fmrcohtytf/fmrcohtytf.m3u8
SCOP-697,https://siwazywcdn2.com:5278/zhongwenzimu/59LHYbi4/index.m3u8
SPRD-1481夏川,https://siwazywcdn2.com:5278/zhongwenzimu/1Wc2gtfN/index.m3u8
SSNI-658A,https://siwazywcdn2.com:5278/zhongkouwei/nwba4LUx/index.m3u8
SSNI-658B,https://siwazywcdn2.com:5278/zhongkouwei/WBdOE3qp/index.m3u8
ssis-096乙白沙也,https://siwazywcdn2.com:5278/zhongwenzimu/0GbVxCsv/index.m3u8
ssis-118梦乃,https://siwazywcdn2.com:5278/zhongwenzimu/5yvSxVeg/index.m3u8
ssni-778儿玉玲奈,https://siwazywcdn2.com:5278/zhongwenzimu/6Lwmk5xH/index.m3u8
UMD-737奏音花音,https://video2.51daao.com/btt1/2021/10/20211019/wO9PIxFb/2000kb/hls/index.m3u8
WAAA-087工藤良罗,https://siwazywcdn2.com:5278/zhongwenzimu/0SuepbFL/index.m3u8

Global-101,#genre#
老逗01,https://video2.51daao.com/btt1/2021/07/20210708/7quARUC4/index.m3u8
老逗02,https://video2.51daao.com/btt1/2021/07/20210708/BZzer3Ux/index.m3u8
老逗04,https://video2.51daao.com/btt1/2021/07/20210708/oYUIog13/index.m3u8
老逗05,https://video2.51daao.com/btt1/2021/07/20210708/638JxHDT/index.m3u8
老逗06,https://video2.51daao.com/btt1/2021/07/20210708/p0Rc4r0U/index.m3u8
老逗07,https://video2.51daao.com/btt1/2021/07/20210708/NgWctczB/index.m3u8
老逗08,https://video2.51daao.com/btt1/2021/07/20210708/bYBjIW96/index.m3u8
老逗09,https://video2.51daao.com/btt1/2021/07/20210705/n5SAqcBX/index.m3u8
老逗10,https://video2.51daao.com/btt1/2021/07/20210705/w1g0Ml9J/index.m3u8
老逗11,https://video2.51daao.com/btt1/2021/07/20210705/BjfvLiem/index.m3u8
老逗12,https://video2.51daao.com/btt1/2021/07/20210705/UEEjwQu6/index.m3u8
老逗13,https://video2.51daao.com/btt1/2021/07/20210705/ULWDX1wK/index.m3u8
老逗14,https://video2.51daao.com/btt1/2021/07/20210705/v9BEri5n/index.m3u8
老逗15,https://video2.51daao.com/btt1/2021/07/20210705/jHa62kfi/index.m3u8
老逗16,https://video2.51daao.com/btt1/2021/07/20210705/KYx43NSy/index.m3u8
老逗17,https://video2.51daao.com/btt1/2021/07/20210705/ZfUuHFj6/index.m3u8
老逗18,https://video2.51daao.com/btt1/2021/07/20210705/s0NQP0OT/index.m3u8
老逗19,https://video2.51daao.com/btt1/2021/07/20210702/CpaKXgGe/index.m3u8
老逗21,https://video2.51daao.com/btt1/2021/07/20210702/yw87zzlg/index.m3u8
老逗22,https://video2.51daao.com/btt1/2021/07/20210702/sSWPzRU4/index.m3u8
老逗23,https://video2.51daao.com/btt1/2021/07/20210702/YUxCLf7y/index.m3u8
老逗24,https://video2.51daao.com/btt1/2021/07/20210702/S8EFLluM/index.m3u8
老逗26,https://video2.51daao.com/btt1/2021/07/20210701/UDcaN8Bu/index.m3u8
老逗27,https://video2.51daao.com/btt1/2021/07/20210701/TS1XIKRd/index.m3u8
老逗28,https://video2.51daao.com/btt1/2021/07/20210701/E0pcffue/index.m3u8
老逗29,https://video2.51daao.com/btt1/2021/07/20210701/WVQbxSnx/index.m3u8
老逗30,https://video2.51daao.com/btt1/2021/07/20210701/SB0dgrZe/index.m3u8
老逗31,https://video2.51daao.com/btt1/2021/07/20210701/drR2WbWq/index.m3u8
老逗32,https://video2.51daao.com/btt1/2021/07/20210701/wJ6wF6kN/index.m3u8
老逗33,https://video2.51daao.com/btt1/2021/07/20210701/hMsgQIaG/index.m3u8
老逗34,https://video2.51daao.com/btt1/2021/07/20210701/ZnffCCl7/index.m3u8
老逗35,https://video2.51daao.com/btt1/2021/07/20210701/ecXH4qJ1/index.m3u8
老逗36,https://video2.51daao.com/btt1/2021/07/20210701/BfV8FLKF/index.m3u8
